Entry	Entry name
A0A180H5S5	A0A180H5S5_HUMAN
A0A180H5X1	A0A180H5X1_HUMAN
A0A180H6K7	A0A180H6K7_HUMAN
A0A180H6P7	A0A180H6P7_HUMAN
A0A180H767	A0A180H767_HUMAN
A0A1B0Z6G7	A0A1B0Z6G7_HUMAN
A1A424	A1A424_HUMAN
A1A425	A1A425_HUMAN
A1A426	A1A426_HUMAN
A1A427	A1A427_HUMAN
A1A428	A1A428_HUMAN
E9NVG9	E9NVG9_HUMAN
I2G868	I2G868_HUMAN
O46698	O46698_HUMAN
O78167	O78167_HUMAN
Q06654	Q06654_HUMAN
Q06663	Q06663_HUMAN
Q06664	Q06664_HUMAN
Q2YHL2	Q2YHL2_HUMAN
Q30151	Q30151_HUMAN
Q30154	DRB5_HUMAN
Q3LTJ2	Q3LTJ2_HUMAN
Q5EEQ8	Q5EEQ8_HUMAN
Q5TJ21	Q5TJ21_HUMAN
Q5W1E2	Q5W1E2_HUMAN
Q8HWH1	Q8HWH1_HUMAN
Q9TPE2	Q9TPE2_HUMAN
A0A024F8Q5	A0A024F8Q5_HUMAN
A0A024F986	A0A024F986_HUMAN
A0A024F9S8	A0A024F9S8_HUMAN
A0A024F9U8	A0A024F9U8_HUMAN
A0A0G2JJQ8	A0A0G2JJQ8_HUMAN
A0A0H5CBI3	A0A0H5CBI3_HUMAN
A0A0P1GKP1	A0A0P1GKP1_HUMAN
A0A180H5N7	A0A180H5N7_HUMAN
A0A180H5Q4	A0A180H5Q4_HUMAN
A0A180H5R5	A0A180H5R5_HUMAN
A0A180H6D0	A0A180H6D0_HUMAN
A0A180H6J7	A0A180H6J7_HUMAN
A0A180H6N8	A0A180H6N8_HUMAN
A0A180H736	A0A180H736_HUMAN
A0A180H758	A0A180H758_HUMAN
A0A180H7G7	A0A180H7G7_HUMAN
A0A1B1TK67	A0A1B1TK67_HUMAN
B5BLV8	B5BLV8_HUMAN
D1MYB6	D1MYB6_HUMAN
D6CJH3	D6CJH3_HUMAN
O19678	O19678_HUMAN
O19679	O19679_HUMAN
O19729	O19729_HUMAN
O19742	O19742_HUMAN
O19743	O19743_HUMAN
P13762	DRB4_HUMAN
Q29869	Q29869_HUMAN
Q29922	Q29922_HUMAN
Q2LIR4	Q2LIR4_HUMAN
Q30123	Q30123_HUMAN
Q30146	Q30146_HUMAN
Q7JFU9	Q7JFU9_HUMAN
Q861F4	Q861F4_HUMAN
Q95376	Q95376_HUMAN
Q9BD10	Q9BD10_HUMAN
Q9GIJ6	Q9GIJ6_HUMAN
Q9MYE4	Q9MYE4_HUMAN
Q9UEX8	Q9UEX8_HUMAN
Q9UEY1	Q9UEY1_HUMAN
Q9UEY3	Q9UEY3_HUMAN
