interaction_id	a_alias	b_alias	a_id	b_id
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P01614	675736	5339595
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P21817	675736	5395245
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	Q7Z333	675736	9442794
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02751	675736	14006253
675736	complex:4wSwV3UHcew6AKXisKXB9XkD+yI	P02787	675736	14008088
676375	A8K881	P08758	3197085	4535951
676661	P41182	P17275	2559145	3482397
676675	P51617-4	Q9Y616-2	3635743	9443045
677338	O14933	P43490	261783	1724893
677559	Q03526	Q13094	1536407	2970254
678100	P08754	O43665-3	3252138	5153774
678662	XP_005246873	XP_005257673	1004542	3027803
678966	P04155	Q9NRR5	1119944	2154661
679441	Q16649	Q03060	3831942	11792364
679724	Q9NRY6	Q7ARD3	2567366	3464389
680761	P08697	P21980-2	2589509	3985867
680853	O60488	P60842	634957	1655367
681259	P42229	P17676	2791829	3962824
681281	P17676	P06790	3962824	5416378
681364	Q9UII7	P35568	2412960	3143545
681437	complex:zcSM0zkoZZDuT3ykzzQgkBjYrsk	P05556-2	681437	1979966
681437	complex:zcSM0zkoZZDuT3ykzzQgkBjYrsk	P26006	681437	2082182
681437	complex:zcSM0zkoZZDuT3ykzzQgkBjYrsk	P21980-2	681437	3985867
682117	P07602-3	Q9ULX9	1630572	2082462
682179	P40189	P23458	190090	2038544
682372	O15492	P00533	232701	2135848
682916	P40189-2	P42702	190090	2775278
683169	P29466	P10144	1923050	11007358
683978	Q14790	P80303	4874921	10013563
686726	O14924	P08754	836513	3252138
686820	P32455	P32455	3714020	3714020
687402	Q13094	P16333	2970254	4456845
687726	P06239	NP_002829	1065781	3093536
687824	P17544	P17676	3006313	3962824
688275	Q9NRY6	Q8ZIL5	2567366	5297183
688904	P08575	P08581	3093536	4861001
689322	P40189-2	P21860-5	190090	3231405
690621	O60488	Q9NYR8	634957	3511836
691564	P08575	P11226	3093536	4398410
691851	P40189	Q06124	190090	5369795
692454	P16070	P17936	3739030	5156786
692475	P17947	Q03060-23	2246861	11792364
694272	O60488	O95373	634957	1026556
694482	P42224	AAC36702	1004542	1693362
695236	P35568	P11274-2	3143545	4305807
695285	P12931	A6ZID6	863768	14007084
695345	O60488	Q9HCN4	634957	3798071
696183	P01857	P0CG04	5333995	14006869
697258	O60603	O60603	735309	735309
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q9UGM3	697348	997260
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q8TEW0	697348	1869743
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q9BYG5	697348	1992667
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	P60953	697348	2556870
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q9NPB6	697348	3777442
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	P41743	697348	4487727
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q05513	697348	5247574
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q6P1M3	697348	5339738
697348	complex:7iI5Axn9GUZljJ4N9FeH2+VmDGY	Q15334	697348	11793525
697777	Q13547	P17676	3908752	3962824
697935	P42261	P25025	193246	4138380
698062	P13236	P51678	1714665	3516372
698092	P48356	P08575	2547835	3093536
698283	P42224-2	P01100	1004542	3805630
698651	P45452	P45452	647118	647118
699061	O00505	P21980	2794256	3985867
