interaction_id	a_alias	b_alias	a_id	b_id
701911	Q9P253	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	131074	701911
701911	Q92622	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	184136	701911
701911	Q14457	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	517184	701911
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	Q99570	701911	1406752
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	Q96AX1	701911	1622643
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	Q8NEB9	701911	4021969
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	Q9P2Y5	701911	4177872
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	Q8WUH2	701911	5265235
701911	complex:7ZjauAIYI9rLTHSY0HpQp+Z8t0U	P18433	701911	5369851
702311	P22607	Q92540	656326	2215480
702398	P35568	P05129	3143545	4200947
702645	Q13263	XP_005246873	163267	1004542
702824	Q16611	O94915	1828022	5319649
702932	P13804	P11310	2492145	3859512
703736	Q14686	complex:8aeBVrQZOIGYw/Mvqi5RKzsmixE	222284	703736
703736	complex:8aeBVrQZOIGYw/Mvqi5RKzsmixE	P37231	703736	2201336
703736	complex:8aeBVrQZOIGYw/Mvqi5RKzsmixE	P61964	703736	3076419
703736	complex:8aeBVrQZOIGYw/Mvqi5RKzsmixE	Q15291	703736	5208865
703736	complex:8aeBVrQZOIGYw/Mvqi5RKzsmixE	Q9UBL3	703736	5259329
705602	P22607-3	P62993-2	656326	4056103
706393	P42224	Q53G26	1004542	4727611
706422	A8K379	P78527-2	4083603	4713146
706516	Q99570	Q9BXW4	1406752	4523522
707094	Q09472	P37231-3	820620	2201336
707534	P32455	P49356	3714020	5007082
708600	Q07666	P07948-2	3573425	4083603
708650	P28070	Q15067	1612585	5287038
709200	Q9UBY0	A8K2I8	496525	4400282
709202	P36871	A3KPC7	2673990	3337630
709331	O15305	P36871	467933	2673990
709852	O94762-2	P01033	2915830	3497176
709924	P35568	O15524	3143545	4992485
710233	Q9BQ83	P04083	2255265	3719914
711414	P27361-2	P07948-2	3536546	4083603
711645	P26447	P25815	590396	4764357
711797	P22607-3	Q9P2H0	656326	9644680
711949	F1D8P8	P42224-2	781714	1004542
712557	Q6PJI9	P36871	822220	2673990
712823	P08473	Q92597	2687131	5176863
712989	O75563	P07948	107873	4083603
713005	P36871	Q8NBP7	2673990	3783042
713479	Q96AJ1	P08708	4050778	4094308
713877	Q06649	P07948	707182	4083603
714352	A4D1Q0	P29992	3862476	4166168
714500	P24530-2	P29992	1797606	4166168
715478	Q96RQ3	Q15067	3347456	5287038
716169	P35520	P36871	1849460	2673990
716199	C7FDY0	P21802-8	194284	4935615
716258	NP_066289	P37231-3	2068280	2201336
716350	P46781	Q92597	3534885	5176863
716352	Q9BXW9	Q16658	1434959	4997501
716376	P22612	complex:9pZTOsVd4zzZsRDqQK1J7LTWPVE	26806	716376
716376	complex:9pZTOsVd4zzZsRDqQK1J7LTWPVE	P17612	716376	821803
716376	complex:9pZTOsVd4zzZsRDqQK1J7LTWPVE	P13861	716376	948625
716376	complex:9pZTOsVd4zzZsRDqQK1J7LTWPVE	B2RB89	716376	1877037
716376	complex:9pZTOsVd4zzZsRDqQK1J7LTWPVE	P62136	716376	2413104
