Entry	Entry name
K7EIE5	K7EIE5_HUMAN
K7EJ40	K7EJ40_HUMAN
K7EK41	K7EK41_HUMAN
K7EKR1	K7EKR1_HUMAN
K7EM13	K7EM13_HUMAN
K7EMU2	K7EMU2_HUMAN
K7EMZ6	K7EMZ6_HUMAN
K7EPB2	K7EPB2_HUMAN
K7EPR5	K7EPR5_HUMAN
K7EQK3	K7EQK3_HUMAN
P10644	KAP0_HUMAN
Q96P62	Q96P62_HUMAN
X6RAV4	X6RAV4_HUMAN
D0VAW8	D0VAW8_HUMAN
Q9Y6Y9	LY96_HUMAN
A0A087X0W0	A0A087X0W0_HUMAN
B4DV51	B4DV51_HUMAN
B5MDF5	B5MDF5_HUMAN
F5H018	F5H018_HUMAN
H0YFC6	H0YFC6_HUMAN
J3KQE5	J3KQE5_HUMAN
P62826	RAN_HUMAN
A0A087WSV8	A0A087WSV8_HUMAN
A0A097EV82	A0A097EV82_HUMAN
A0A1B0GXJ7	A0A1B0GXJ7_HUMAN
A7LNF3	A7LNF3_HUMAN
A7LNF4	A7LNF4_HUMAN
A7LNF5	A7LNF5_HUMAN
E9PJP3	E9PJP3_HUMAN
E9PKG6	E9PKG6_HUMAN
E9PLE9	E9PLE9_HUMAN
E9PLR0	E9PLR0_HUMAN
E9PLR5	E9PLR5_HUMAN
E9PM22	E9PM22_HUMAN
E9PRQ3	E9PRQ3_HUMAN
H0YD18	H0YD18_HUMAN
H0YEG8	H0YEG8_HUMAN
P80303	NUCB2_HUMAN
Q2L696	Q2L696_HUMAN
V9HW75	V9HW75_HUMAN
A4D1B5	GSAP_HUMAN
B7ZL33	B7ZL33_HUMAN
C9JRG7	C9JRG7_HUMAN
H7C0Q7	H7C0Q7_HUMAN
A0A087X1V5	A0A087X1V5_HUMAN
A0A0C4DG07	A0A0C4DG07_HUMAN
A0PJ71	A0PJ71_HUMAN
A6H8Y5	A6H8Y5_HUMAN
E2QRP0	E2QRP0_HUMAN
E5RGN7	E5RGN7_HUMAN
E5RGR7	E5RGR7_HUMAN
E5RGU1	E5RGU1_HUMAN
O60934	NBN_HUMAN
H7CEH5	H7CEH5_HUMAN
P43235	CATK_HUMAN
Q2XNE6	Q2XNE6_HUMAN
Q5QP40	Q5QP40_HUMAN
Q6FHN2	Q6FHN2_HUMAN
Q13113	PDZ1I_HUMAN
F8WBS6	F8WBS6_HUMAN
F8WBW5	F8WBW5_HUMAN
H7BZJ3	H7BZJ3_HUMAN
L8EAE7	L8EAE7_HUMAN
P30101	PDIA3_HUMAN
A0A087WU81	A0A087WU81_HUMAN
A0A087WUC4	A0A087WUC4_HUMAN
P00326	ADH1G_HUMAN
C9JTR4	C9JTR4_HUMAN
H7BZ18	H7BZ18_HUMAN
Q8NI22	MCFD2_HUMAN
A8MW49	A8MW49_HUMAN
P07148	FABPL_HUMAN
Q05CP7	Q05CP7_HUMAN
Q6FGL7	Q6FGL7_HUMAN
L8E879	L8E879_HUMAN
O14625	CXL11_HUMAN
A0A024R2B6	A0A024R2B6_HUMAN
C9JLM5	C9JLM5_HUMAN
P36952	SPB5_HUMAN
A0A0S2Z4L7	A0A0S2Z4L7_HUMAN
A0A0S2Z4S4	A0A0S2Z4S4_HUMAN
C6KIA6	C6KIA6_HUMAN
C6KIA9	C6KIA9_HUMAN
D2JYJ0	D2JYJ0_HUMAN
D2JYJ1	D2JYJ1_HUMAN
D2JYJ2	D2JYJ2_HUMAN
D2JYJ3	D2JYJ3_HUMAN
D2JYJ4	D2JYJ4_HUMAN
O60603	TLR2_HUMAN
A8MYV6	A8MYV6_HUMAN
D0VY79	D0VY79_HUMAN
F8W9L0	F8W9L0_HUMAN
Q16665	HIF1A_HUMAN
E9PS44	E9PS44_HUMAN
H9NKY4	H9NKY4_HUMAN
H9NL12	H9NL12_HUMAN
H9NL19	H9NL19_HUMAN
Q01628	IFM3_HUMAN
R4GNG9	R4GNG9_HUMAN
A0A0A0MRB1	A0A0A0MRB1_HUMAN
D3DUZ3	D3DUZ3_HUMAN
H3BM18	H3BM18_HUMAN
H3BR65	H3BR65_HUMAN
H3BR88	H3BR88_HUMAN
H3BVE6	H3BVE6_HUMAN
Q16666	IF16_HUMAN
X6RHM1	X6RHM1_HUMAN
P02776	PLF4_HUMAN
F5GZF0	F5GZF0_HUMAN
O14519	CDKA1_HUMAN
P17275	JUNB_HUMAN
Q5U079	Q5U079_HUMAN
Q6IBG3	Q6IBG3_HUMAN
C9JGM1	C9JGM1_HUMAN
C9JWZ6	C9JWZ6_HUMAN
